# -------------------------------------------------------,,,,,,,,,,,
# ---- CSV created by:  mightymerge.io                   ,,,,,,,,,,,
# -------------------------------------------------------,,,,,,,,,,,
,,,,,,,,,,,
id,course,topic,level,question,option1,option2,option3,option4,answer_index,,
Stati_39,,Stati,3,"In a one-tailed test, you are looking for an effect in:",Any direction,Only one specific direction,The median instead of the mean,The standard deviation,1,,
Stati_40,,Stati,3,A Chi-Square test is often used for data that are:,Numerical,Categories or counts,Normally distributed,Correlated,1,,
Stati_41,,Stati,3,If P(,= 0.2 and P(,"= 0.3, and A and B are independent, what is P(A and",?,"0.06
b) 0.5
c) 0.6
d) 0.1",0,,
Stati_42,,Stati,3,"06 (0.2 * 0.3 = 0.06)
42. R-squared in a regression tells you:",The slope of the line,How well the line fits the data,The y-intercept,The correlation coefficient,1,,
Stati_43,,Stati,3,"As sample size increases, the standard error of the mean:",Increases,Decreases,Stays the same,Becomes zero,1,,
Stati_44,,Stati,3,The standard error is the standard deviation of the:,Population,Sample,Sampling Distribution,Data,2,,
Stati_45,,Stati,3,You use a Chi-square test of independence to see if two ______ are relate,,Means,Medians,"Categorical Variables
d) Numbers",2,,
Stati_46,,Stati,4,"To compare the means of three groups, you should use:",A t-test,Correlation,ANOVA,A pie chart,2,,
Stati_47,,Stati,4,Which is NOT an assumption of linear regression?,The relationship is linear,The residuals are normally distributed,The variables are independent,The slope must be positive,3,,
Stati_48,,Stati,4,A p-value of 0.01 means:,The null hypothesis is definitely false,There is a 1% chance the null hypothesis is true,The results are statistically significant,The effect size is large,2,,
Stati_49,,Stati,4,Rejecting a true null hypothesis is a:,Type I Error,Type II Error,Correct decision,Power,0,,
Stati_50,,Stati,4,A larger sample size generally leads to:,A wider confidence interval,A narrower confidence interval,No change in the interval,A higher p-value,1,,
Stati_51,,Stati,4,"If an ANOVA test is significant, it tells you:",Which specific groups are different,That all groups are different from each other,That at least one group is different from the others,That the variances are equal,2,,
Stati_52,,Stati,4,A residual is the difference between:,Two independent variables,The observed value and the predicted value,The mean and the median,The sample and the population,1,,
Stati_53,,Stati,4,The Poisson distribution is often used for:,Yes/No data,The number of times an event happens in an interval,Data that is normally distributed,Measuring proportions,1,,
Stati_54,,Stati,4,The Bonferroni correction is used when you are doing:,One test,Many tests at the same time,A t-test,Calculating a mean,1,,
Stati_55,,Stati,4,The power of a test is the probability of:,Making a Type I error,Making a Type II error,Correctly finding an effect when it exists,Correctly finding no effect when none exists,2,,
Stati_56,,Stati,4,Multicollinearity is a problem when independent variables in a regression are:,Too weakly correlated,Too highly correlated with each other,Not correlated with the dependent variable,Measured in different units,1,,
Stati_57,,Stati,4,Bayes' Theorem is used to update:,The p-value,The sample size,Probabilities based on new evidence,The confidence level,2,,
Stati_58,,Stati,4,"The Law of Large Numbers says that as you increase sample size, the sample mean
gets closer to the:",Population Mean,Sample Median,Population Mode,Population Standard Deviation,0,,
Stati_59,,Stati,4,You use a Z-test instead of a T-test when:,The sample size is small,The population standard deviation is unknown,The population standard deviation is known,The data is not normal,2,,
Stati_60,,Stati,4,A Q-Q plot is used to check if data is:,Correlated,Normally distributed,Categorical,Skewed,1,,
Stati_61,,Stati,5,"A 95% confidence interval means that if we repeated the study many times, ______
of the intervals would contain the true population parameter.",5%,50%,95%,100%,2,,
Stati_62,,Stati,5,"In Bayesian statistics, a ""prior"" represents:",The p-value,What is believed before seeing the data,The data itself,The conclusion,1,,
Stati_63,,Stati,5,Overfitting a model means the model:,Is too simple,Fits the current data well but may fail with new data,Fits the population perfectly,Has a high R-squared,1,,
Stati_64,,Stati,5,"Probability is about long-term frequency, while Likelihood is about:",The past,The data you have collected,The future,The sample size,1,,
Stati_65,,Stati,5,Power analysis helps you determine the needed:,P-value,Sample Size,Confidence Interval,Effect Size,1,,
Stati_66,,Stati,5,Bootstrapping is a method for estimating sampling distributions by:,Using a larger sample,Resampling from the original sample many times,Using a normal distribution,Increasing the confidence level,1,,
Stati_67,,Stati,5,"""P-hacking"" refers to:",Using the correct statistical test,Trying many analyses until you get a significant p-value,Hacking into a computer,Using a large sample size,1,,
Stati_68,,Stati,5,A non-parametric test is used when:,The data is normally distributed,The sample size is large,The data does not meet assumptions of parametric tests (like normality),The p-value is large,2,,
Stati_69,,Stati,5,Heteroscedasticity in regression means the variance of the errors is:,Constant,Zero,Not constant,Normal,2,,
Stati_70,,Stati,5,"""Degrees of Freedom"" often refers to the number of values that are free to vary
when calculating a statisti","For a sample standard deviation, it is:",n,n - 1,"n + 1
d) n / 2",1,,
Stati_71,,Stati,5,A GLM (Generalized Linear Model) can be used for data that is:,Only normally distributed,Only continuous,Not normally distributed (like counts or binary outcomes),Only categorical,2,,
Stati_72,,Stati,5,The median is often better than the mean when:,The data is symmetric,The data is normal,There are extreme values or outliers,The sample size is large,2,,
Stati_73,,Stati,5,Statistical significance does NOT tell you about the:,Size of the effect,Unlikeliness of the data under the null hypothesis,Importance of the result,P-value,0,,
Stati_74,,Stati,5,"A key assumption for using a Pearson correlation is that the relationship between
variables is:",Causal,Linear,Curved,Strong,1,,
Stati_75,,Stati,5,The F-statistic in an ANOVA tests the ratio of:,Variance between groups / Variance within groups,Mean between groups / Mean within groups,Variance within groups / Variance between groups,Two different medians,0,,
_Python MCQ_1,,_Python MCQ,1,What is Python?,Snake,Programming language,Browser,Game,1,,
_Python MCQ_2,,_Python MCQ,1,Which symbol is used for comments in Python?,//,/* */,#,--,2,,
_Python MCQ_3,,_Python MCQ,1,Which function displays output?,echo(),print(),show(),display(),1,,
_Python MCQ_4,,_Python MCQ,1,How do you take user input?,scan(),read(),input(),get(),2,,
_Python MCQ_5,,_Python MCQ,1,Which operator adds two numbers?,+,-,*,/,0,,
_Python MCQ_6,,_Python MCQ,1,What is the output of print(2 + 3 * 4)?,20,14,24,18,1,,
_Python MCQ_7,,_Python MCQ,1,What keyword starts a function?,func,def,function,define,1,,
_Python MCQ_8,,_Python MCQ,1,Which data type stores text?,int,float,str,list,2,,
_Python MCQ_9,,_Python MCQ,1,"What is the result of len(""hi"")?",1,2,3,Error,1,,
_Python MCQ_10,,_Python MCQ,1,What is the correct way to create a variable?,var x = 5,x = 5,int x = 5,declare x,1,,
_Python MCQ_11,,_Python MCQ,1,What is the output of print(10//3)?,3.33,3,4,Error,1,,
_Python MCQ_12,,_Python MCQ,1,Which of these are logical operators?,"and, or, not","+, -, *","if, else","==, !=",0,,
_Python MCQ_13,,_Python MCQ,1,Which function shows data type?,type(),dtype(),data(),typeof(),0,,
_Python MCQ_14,,_Python MCQ,1,How do you write multi-line comments?,# … #,""""""" … """"""",/* … */,// … //,1,,
_Python MCQ_15,,_Python MCQ,1,"What will print(""Python"" * 2) output?",PythonPython,Error,2Python,None,0,,
_Python MCQ_16,,_Python MCQ,2,Which statement checks conditions?,loop,if,def,class,1,,
_Python MCQ_17,,_Python MCQ,2,What keyword ends a loop early?,exit,break,stop,return,1,,
_Python MCQ_18,,_Python MCQ,2,What keyword skips the rest of a loop iteration?,skip,pass,continue,jump,2,,
_Python MCQ_19,,_Python MCQ,2,"What is the output of [1, 2] + [3, 4]?","[1, 2, 3, 4]","[4, 6]",Error,None,0,,
_Python MCQ_20,,_Python MCQ,2,Which function counts elements in a list?,len(),count(),size(),num(),0,,
_Python MCQ_21,,_Python MCQ,2,What does list.append(5) do?,Adds 5 at end,Adds 5 at start,Removes 5,None,0,,
_Python MCQ_22,,_Python MCQ,2,"What is the output of [1,2,3]*2?","[1,2,3,1,2,3]","[2,4,6]",Error,None,0,,
_Python MCQ_23,,_Python MCQ,2,Which function sorts a list?,order(),sort(),arrange(),sequence(),1,,
_Python MCQ_24,,_Python MCQ,2,Which data type allows duplicates?,Set,List,Dictionary,None,1,,
_Python MCQ_25,,_Python MCQ,2,Which keyword is used inside a function to send output?,print,return,output,yield,1,,
_Python MCQ_26,,_Python MCQ,2,How do you check if 5 is greater than 3?,5 > 3,5 gt 3,"greater(5,3)","if(5,3)",0,,
_Python MCQ_27,,_Python MCQ,2,"What does sum([1,2,3]) return?",6,[6],123,Error,0,,
_Python MCQ_28,,_Python MCQ,2,Which keyword defines a loop?,for,def,while,A and C,3,,
_Python MCQ_29,,_Python MCQ,2,How to repeat code 5 times using range?,for i in range(5):,while i < 5:,repeat(5),"range(1,5)",0,,
_Python MCQ_30,,_Python MCQ,2,"What is the output of bool("""")?",TRUE,FALSE,,,1,,
_Python MCQ_31,,_Python MCQ,3,Which keyword defines a class?,def, class,object,type,1,,
_Python MCQ_31,,_Python MCQ,3,What does self represent?,Object,Class,Module,None,0,,
_Python MCQ_32,,_Python MCQ,3,What is __init__()?,Constructor,Function,Destructor,None,0,,
_Python MCQ_33,,_Python MCQ,3,How to import module math?,use math,import math,include math,require math,1,,
_Python MCQ_34,,_Python MCQ,3,How to open a file for writing?,"open('f.txt','w')",file.open('f.txt'),write('f.txt'),None,0,,
_Python MCQ_35,,_Python MCQ,3,Which reads all lines?,read(),readline(),readlines(),All,3,,
_Python MCQ_36,,_Python MCQ,3,What does super() do?,Calls parent class,Ends function,Clears data,None,0,,
_Python MCQ_37,,_Python MCQ,3,How to close a file?,close(),file.close(),end(),stop(),1,,
_Python MCQ_38,,_Python MCQ,3,Which function checks type?,type(),class(),info(),data(),0,,
_Python MCQ_39,,_Python MCQ,3,What is an object?,Instance of class,Variable,Loop,Module,0,,
_Python MCQ_40,,_Python MCQ,3,What does try-except handle?,Loops,Errors,Classes,Imports,1,,
_Python MCQ_41,,_Python MCQ,3,Which function gives current working directory?,os.getcwd(),sys.path(),path.show(),None,0,,
_Python MCQ_42,,_Python MCQ,3,How to delete a variable?,del var,delete var,remove(var),clear(var),0,,
_Python MCQ_43,,_Python MCQ,3,What is the return type of range()?,List,Range object,Tuple,Int,1,,
_Python MCQ_44,,_Python MCQ,4,Which keyword creates a generator?,yield,return,pass,gen,0,,
_Python MCQ_45,,_Python MCQ,4,Which library is used for plotting graphs?,numpy,matplotlib,pandas,scipy,1,,
_Python MCQ_46,,_Python MCQ,4,What does plt.show() do?,Displays graph,Saves file,Clears graph,None,0,,
_Python MCQ_47,,_Python MCQ,4,Which command plots a line graph?,plt.plot(),plt.line(),sns.line(),plt.bar(),0,,
_Python MCQ_48,,_Python MCQ,4,Which function reads a CSV?,pd.read_csv(),csv.read(),pd.load_csv(),pd.read(),0,,
_Python MCQ_49,,_Python MCQ,4,Which function shows top rows?,df.head(),df.tail(),df.sample(),df.show(),0,,
_Python MCQ_50,,_Python MCQ,4,Which returns correlation matrix?,df.corr(),df.describe(),df.info(),df.sum(),0,,
_Python MCQ_51,,_Python MCQ,4,What does df.info() show?,Data types,Summary,Graph,Count,0,,
_Python MCQ_52,,_Python MCQ,4,Which removes nulls?,df.dropna(),df.clean(),df.remove(),df.clear(),0,,
_Python MCQ_53,,_Python MCQ,4,Which merges DataFrames?,pd.merge(),pd.concat(),pd.join(),All,3,,
_Python MCQ_54,,_Python MCQ,4,Which plots bar chart?,plt.bar(),plt.plot(),sns.lineplot(),None,0,,
_Python MCQ_55,,_Python MCQ,4,How to read Excel file?,pd.read_excel(),pd.read_csv(),pd.read(),None,0,,
_Python MCQ_56,,_Python MCQ,4,Which command counts missing values?,df.isnull().sum(),df.count(),df.missing(),None,0,,
_Python MCQ_57,,_Python MCQ,4,What does df.describe() do?,Gives summary stats,Shows head,Cleans data,None,0,,
_Python MCQ_58,,_Python MCQ,4,Which function renames columns?,df.rename(),df.columns(),df.edit(),None,0,,
_Python MCQ_59,,_Python MCQ,4,What is index in pandas?,Row labels,Column names,Values,None,0,,
_Python MCQ_60,,_Python MCQ,5,Which library is best for interactive visuals?,seaborn,matplotlib,plotly,numpy,2,,
_Python MCQ_61,,_Python MCQ,5,Which regression is linear?,Logistic,Linear,Ridge,Lasso,1,,
_Python MCQ_62,,_Python MCQ,5,Which creates subplots?,plt.subplots(),plt.plot(),plt.subplot(),sns.grid(),0,,
_Python MCQ_63,,_Python MCQ,5,Which library is for ML models?,pandas,scikit-learn,matplotlib,seaborn,1,,
_Python MCQ_64,,_Python MCQ,5,What does .fit() do?,Trains model,Tests,Saves,Visualizes,0,,
_Python MCQ_65,,_Python MCQ,5,What splits data into train & test?,train_test_split(),split_data(),model.split(),divide(),0,,
_Python MCQ_66,,_Python MCQ,5,What is cross-validation for?,Model evaluation,Cleaning data,Plotting,None,0,,
_Python MCQ_67,,_Python MCQ,5,What does normalization do?,Scales data,Sorts,Removes nulls,None,0,,
_Python MCQ_68,,_Python MCQ,5,What is a confusion matrix for?,Evaluate classification,Visualize scatter,Normalize data,None,0,,
_Python MCQ_69,,_Python MCQ,5,What is Logistic Regression used for?,Classification,Regression,Clustering,Summarization,0,,
_Python MCQ_70,,_Python MCQ,5,Which algorithm uses decision trees?,Random Forest,SVM,Logistic Regression,Naive Bayes,0,,
_Python MCQ_71,,_Python MCQ,5,What is accuracy_score used for?,Model evaluation,Data cleaning,Sorting,None,0,,
_Python MCQ_72,,_Python MCQ,5,Which library supports 3D plots?,seaborn,plotly,pandas,numpy,1,,
_Python MCQ_73,,_Python MCQ,5,What is a heatmap used for?,Show correlation visually,Text display,Numeric table,None,0,,
_Python MCQ_74,,_Python MCQ,5,Which metric measures regression error?,RMSE,accuracy_score,confusion matrix,correlation,0,,
DBMS_Question_Bank_Full_80_1,,DBMS_Question_Bank_Full_80,1,DBMS stands for?,Data Base Management System,Data Management Service,Database Managing Software,Data Backup Management System,0,,
DBMS_Question_Bank_Full_80_2,,DBMS_Question_Bank_Full_80,1,A database is a collection of?,Programs,Data,Tables,Files,1,,
DBMS_Question_Bank_Full_80_3,,DBMS_Question_Bank_Full_80,1, Which of the following is a DBMS software?,MySQL,Python,Java,HTML,0,,
DBMS_Question_Bank_Full_80_4,,DBMS_Question_Bank_Full_80,1, Which language is used to manage data in DBMS?,HTML,DML,XML,JSON,1,,
DBMS_Question_Bank_Full_80_5,,DBMS_Question_Bank_Full_80,1,Which key uniquely identifies a record?,Foreign Key,Primary Key,Alternate Key,Composite Key,1,,
DBMS_Question_Bank_Full_80_6,,DBMS_Question_Bank_Full_80,1,What is a tuple in DBMS?,Row,Column,Table,Key,0,,
DBMS_Question_Bank_Full_80_7,,DBMS_Question_Bank_Full_80,1, A collection of related records is known as?,Table,Database,Field,Schema,0,,
DBMS_Question_Bank_Full_80_8,,DBMS_Question_Bank_Full_80,1, Which of the following is not a type of database?,Hierarchical,Network,Distributed,Linear,3,,
DBMS_Question_Bank_Full_80_9,,DBMS_Question_Bank_Full_80,1,What does SQL stand for?,Structured Query Language,Simple Query Language,Sequential Query Language,Standard Query Language,0,,
DBMS_Question_Bank_Full_80_10,,DBMS_Question_Bank_Full_80,1, Which command is used to retrieve data?,SELECT,UPDATE,INSERT,DELETE,0,,
DBMS_Question_Bank_Full_80_11,,DBMS_Question_Bank_Full_80,1,Which SQL clause filters records?,SELECT,WHERE,FROM,GROUP BY,1,,
DBMS_Question_Bank_Full_80_12,,DBMS_Question_Bank_Full_80,1, Which command sorts results?,ORDER BY,SORT BY,GROUP BY,ASCENDING,0,,
DBMS_Question_Bank_Full_80_13,,DBMS_Question_Bank_Full_80,1, What does the DISTINCT keyword do?,Deletes duplicates,Filters NULL values,Sorts records,Updates values,0,,
DBMS_Question_Bank_Full_80_14,,DBMS_Question_Bank_Full_80,1,What is the default sorting order of ORDER BY?,Descending,Random,Ascending,No order,2,,
DBMS_Question_Bank_Full_80_15,,DBMS_Question_Bank_Full_80,1,Which SQL keyword is used to combine results from two queries?,UNION,JOIN,CONNECT,MERGE,0,,
DBMS_Question_Bank_Full_80_16,,DBMS_Question_Bank_Full_80,1,Which of the following is a DDL command?,SELECT,CREATE,UPDATE,DELETE,1,,
DBMS_Question_Bank_Full_80_17,,DBMS_Question_Bank_Full_80,1, Which of these is used to remove a table?,DELETE TABLE,DROP TABLE,REMOVE TABLE,CLEAR TABLE,1,,
DBMS_Question_Bank_Full_80_18,,DBMS_Question_Bank_Full_80,1, Which of the following constraints ensures data uniqueness?,DEFAULT,UNIQUE,CHECK,FOREIGN,1,,
DBMS_Question_Bank_Full_80_19,,DBMS_Question_Bank_Full_80,1,Which operator is used for pattern matching?,LIKE,MATCH,PATTERN,COMPARE,0,,
DBMS_Question_Bank_Full_80_20,,DBMS_Question_Bank_Full_80,1,Which of the following creates an alias?,RENAME,AS,NEW,NAME,1,,
DBMS_Question_Bank_Full_80_21,,DBMS_Question_Bank_Full_80,1, What is a JOIN operation?,Combining tables,Deleting tables,Sorting data,Renaming tables,0,,
DBMS_Question_Bank_Full_80_22,,DBMS_Question_Bank_Full_80,1,Which join returns all rows when there is a match?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL JOIN,0,,
DBMS_Question_Bank_Full_80_23,,DBMS_Question_Bank_Full_80,1,Which keyword is used to remove duplicates in JOIN results?,DISTINCT,UNIQUE,CLEAN,NONE,0,,
DBMS_Question_Bank_Full_80_24,,DBMS_Question_Bank_Full_80,1,Which aggregate function returns average value?,COUNT(),SUM(),AVG(),MAX(),2,,
DBMS_Question_Bank_Full_80_25,,DBMS_Question_Bank_Full_80,1, Which SQL function counts rows?,SUM(),COUNT(),NUMBER(),LEN(),1,,
DBMS_Question_Bank_Full_80_26,,DBMS_Question_Bank_Full_80,1, Which key links two tables together?,Foreign Key,Primary Key,Alternate Key,Candidate Key,0,,
DBMS_Question_Bank_Full_80_27,,DBMS_Question_Bank_Full_80,1,What is normalization?,Organizing data,Encrypting data,Duplicating data,Deleting data,0,,
DBMS_Question_Bank_Full_80_28,,DBMS_Question_Bank_Full_80,1, Which normal form removes transitive dependency?,1NF,2NF,3NF,BCNF,2,,
DBMS_Question_Bank_Full_80_29,,DBMS_Question_Bank_Full_80,1, Which SQL clause groups rows that have the same values?,WHERE,GROUP BY,ORDER BY,HAVING,1,,
DBMS_Question_Bank_Full_80_30,,DBMS_Question_Bank_Full_80,1, Which clause filters grouped results?,WHERE,GROUP BY,HAVING,ORDER BY,2,,
DBMS_Question_Bank_Full_80_31,,DBMS_Question_Bank_Full_80,1,DBMS stands for?,Data Base Management System,Data Management Service,Database Managing Software,Data Backup Management System,0,,
DBMS_Question_Bank_Full_80_32,,DBMS_Question_Bank_Full_80,1, A database is a collection of?,Programs,Data,Tables,Files,1,,
DBMS_Question_Bank_Full_80_33,,DBMS_Question_Bank_Full_80,1,Which of the following is a DBMS software?,MySQL,Python,Java,HTML,0,,
DBMS_Question_Bank_Full_80_34,,DBMS_Question_Bank_Full_80,1, Which language is used to manage data in DBMS?,HTML,DML,XML,JSON,1,,
DBMS_Question_Bank_Full_80_35,,DBMS_Question_Bank_Full_80,1,Which key uniquely identifies a record?,Foreign Key,Primary Key,Alternate Key,Composite Key,1,,
DBMS_Question_Bank_Full_80_36,,DBMS_Question_Bank_Full_80,1, What is a tuple in DBMS?,Row,Column,Table,Key,0,,
DBMS_Question_Bank_Full_80_37,,DBMS_Question_Bank_Full_80,1, A collection of related records is known as?,Table,Database,Field,Schema,0,,
DBMS_Question_Bank_Full_80_38,,DBMS_Question_Bank_Full_80,1, Which of the following is not a type of database?,Hierarchical,Network,Distributed,Linear,3,,
DBMS_Question_Bank_Full_80_39,,DBMS_Question_Bank_Full_80,1, What does SQL stand for?,Structured Query Language,Simple Query Language,Sequential Query Language,Standard Query Language,0,,
DBMS_Question_Bank_Full_80_40,,DBMS_Question_Bank_Full_80,1,Which command is used to retrieve data?,SELECT,UPDATE,INSERT,DELETE,0,,
DBMS_Question_Bank_Full_80_41,,DBMS_Question_Bank_Full_80,1, Which SQL clause filters records?,SELECT,WHERE,FROM,GROUP BY,1,,
DBMS_Question_Bank_Full_80_42,,DBMS_Question_Bank_Full_80,1,Which command sorts results?,ORDER BY,SORT BY,GROUP BY,ASCENDING,0,,
DBMS_Question_Bank_Full_80_43,,DBMS_Question_Bank_Full_80,1,What does the DISTINCT keyword do?,Deletes duplicates,Filters NULL values,Sorts records,Updates values,0,,
DBMS_Question_Bank_Full_80_44,,DBMS_Question_Bank_Full_80,1,What is the default sorting order of ORDER BY?,Descending,Random,Ascending,No order,2,,
DBMS_Question_Bank_Full_80_45,,DBMS_Question_Bank_Full_80,1, Which SQL keyword is used to combine results from two queries?,UNION,JOIN,CONNECT,MERGE,0,,
DBMS_Question_Bank_Full_80_46,,DBMS_Question_Bank_Full_80,1, Which of the following is a DDL command?,SELECT,CREATE,UPDATE,DELETE,1,,
DBMS_Question_Bank_Full_80_47,,DBMS_Question_Bank_Full_80,1,Which of these is used to remove a table?,DELETE TABLE,DROP TABLE,REMOVE TABLE,CLEAR TABLE,1,,
DBMS_Question_Bank_Full_80_48,,DBMS_Question_Bank_Full_80,1, Which of the following constraints ensures data uniqueness?,DEFAULT,UNIQUE,CHECK,FOREIGN,1,,
DBMS_Question_Bank_Full_80_49,,DBMS_Question_Bank_Full_80,1, Which operator is used for pattern matching?,LIKE,MATCH,PATTERN,COMPARE,0,,
DBMS_Question_Bank_Full_80_50,,DBMS_Question_Bank_Full_80,1,Which of the following creates an alias?,RENAME,AS,NEW,NAME,1,,
DBMS_Question_Bank_Full_80_51,,DBMS_Question_Bank_Full_80,1, What is a JOIN operation?,Combining tables,Deleting tables,Sorting data,Renaming tables,0,,
DBMS_Question_Bank_Full_80_52,,DBMS_Question_Bank_Full_80,1, Which join returns all rows when there is a match?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL JOIN,0,,
DBMS_Question_Bank_Full_80_53,,DBMS_Question_Bank_Full_80,1,Which keyword is used to remove duplicates in JOIN results?,DISTINCT,UNIQUE,CLEAN,NONE,0,,
DBMS_Question_Bank_Full_80_54,,DBMS_Question_Bank_Full_80,1, Which aggregate function returns average value?,COUNT(),SUM(),AVG(),MAX(),2,,
DBMS_Question_Bank_Full_80_55,,DBMS_Question_Bank_Full_80,1, Which SQL function counts rows?,SUM(),COUNT(),NUMBER(),LEN(),1,,
DBMS_Question_Bank_Full_80_56,,DBMS_Question_Bank_Full_80,1,Which key links two tables together?,Foreign Key,Primary Key,Alternate Key,Candidate Key,0,,
DBMS_Question_Bank_Full_80_57,,DBMS_Question_Bank_Full_80,1,What is normalization?,Organizing data,Encrypting data,Duplicating data,Deleting data,0,,
DBMS_Question_Bank_Full_80_58,,DBMS_Question_Bank_Full_80,1,Which normal form removes transitive dependency?,1NF,2NF,3NF,BCNF,2,,
DBMS_Question_Bank_Full_80_59,,DBMS_Question_Bank_Full_80,1,Which SQL clause groups rows that have the same values?,WHERE,GROUP BY,ORDER BY,HAVING,1,,
DBMS_Question_Bank_Full_80_60,,DBMS_Question_Bank_Full_80,1, Which clause filters grouped results?,WHERE,GROUP BY,HAVING,ORDER BY,2,,
DBMS_Question_Bank_Full_80_61,,DBMS_Question_Bank_Full_80,1,DBMS stands for?,Data Base Management System,Data Management Service,Database Managing Software,Data Backup Management System,0,,
DBMS_Question_Bank_Full_80_62,,DBMS_Question_Bank_Full_80,1, A database is a collection of?,Programs,Data,Tables,Files,1,,
DBMS_Question_Bank_Full_80_63,,DBMS_Question_Bank_Full_80,1,Which of the following is a DBMS software?,MySQL,Python,Java,HTML,0,,
DBMS_Question_Bank_Full_80_64,,DBMS_Question_Bank_Full_80,1, Which language is used to manage data in DBMS?,HTML,DML,XML,JSON,1,,
DBMS_Question_Bank_Full_80_65,,DBMS_Question_Bank_Full_80,1,Which key uniquely identifies a record?,Foreign Key,Primary Key,Alternate Key,Composite Key,1,,
