# CSV-File created with merge-csv.com
# -----------------------------------------------------------

id,topic,level,question,option_a,option_b,option_c,option_d,answer_letter,answer_text
_Python MCQ_19,,_Python MCQ,2,"What is the output of [1, 2] + [3, 4]?","[1, 2, 3, 4]","[4, 6]",Error,None,0
_Python MCQ_20,,_Python MCQ,2,Which function counts elements in a list?,len(),count(),size(),num(),0
_Python MCQ_21,,_Python MCQ,2,What does list.append(5) do?,Adds 5 at end,Adds 5 at start,Removes 5,None,0
_Python MCQ_22,,_Python MCQ,2,"What is the output of [1,2,3]*2?","[1,2,3,1,2,3]","[2,4,6]",Error,None,0
_Python MCQ_23,,_Python MCQ,2,Which function sorts a list?,order(),sort(),arrange(),sequence(),1
_Python MCQ_24,,_Python MCQ,2,Which data type allows duplicates?,Set,List,Dictionary,None,1
_Python MCQ_25,,_Python MCQ,2,Which keyword is used inside a function to send output?,print,return,output,yield,1
_Python MCQ_26,,_Python MCQ,2,How do you check if 5 is greater than 3?,5 > 3,5 gt 3,"greater(5,3)","if(5,3)",0
_Python MCQ_27,,_Python MCQ,2,"What does sum([1,2,3]) return?",6,[6],123,Error,0
_Python MCQ_28,,_Python MCQ,2,Which keyword defines a loop?,for,def,while,A and C,3
_Python MCQ_29,,_Python MCQ,2,How to repeat code 5 times using range?,for i in range(5):,while i < 5:,repeat(5),"range(1,5)",0
_Python MCQ_30,,_Python MCQ,2,"What is the output of bool("""")?",TRUE,FALSE,,,1
_Python MCQ_31,,_Python MCQ,3,Which keyword defines a class?,def, class,object,type,1
_Python MCQ_31,,_Python MCQ,3,What does self represent?,Object,Class,Module,None,0
_Python MCQ_32,,_Python MCQ,3,What is __init__()?,Constructor,Function,Destructor,None,0
_Python MCQ_33,,_Python MCQ,3,How to import module math?,use math,import math,include math,require math,1
_Python MCQ_34,,_Python MCQ,3,How to open a file for writing?,"open('f.txt','w')",file.open('f.txt'),write('f.txt'),None,0
_Python MCQ_35,,_Python MCQ,3,Which reads all lines?,read(),readline(),readlines(),All,3
_Python MCQ_36,,_Python MCQ,3,What does super() do?,Calls parent class,Ends function,Clears data,None,0
_Python MCQ_37,,_Python MCQ,3,How to close a file?,close(),file.close(),end(),stop(),1
_Python MCQ_38,,_Python MCQ,3,Which function checks type?,type(),class(),info(),data(),0
_Python MCQ_39,,_Python MCQ,3,What is an object?,Instance of class,Variable,Loop,Module,0
_Python MCQ_40,,_Python MCQ,3,What does try-except handle?,Loops,Errors,Classes,Imports,1
_Python MCQ_41,,_Python MCQ,3,Which function gives current working directory?,os.getcwd(),sys.path(),path.show(),None,0
_Python MCQ_42,,_Python MCQ,3,How to delete a variable?,del var,delete var,remove(var),clear(var),0
_Python MCQ_43,,_Python MCQ,3,What is the return type of range()?,List,Range object,Tuple,Int,1
_Python MCQ_44,,_Python MCQ,4,Which keyword creates a generator?,yield,return,pass,gen,0
_Python MCQ_45,,_Python MCQ,4,Which library is used for plotting graphs?,numpy,matplotlib,pandas,scipy,1
_Python MCQ_46,,_Python MCQ,4,What does plt.show() do?,Displays graph,Saves file,Clears graph,None,0
_Python MCQ_47,,_Python MCQ,4,Which command plots a line graph?,plt.plot(),plt.line(),sns.line(),plt.bar(),0
_Python MCQ_48,,_Python MCQ,4,Which function reads a CSV?,pd.read_csv(),csv.read(),pd.load_csv(),pd.read(),0
_Python MCQ_49,,_Python MCQ,4,Which function shows top rows?,df.head(),df.tail(),df.sample(),df.show(),0
_Python MCQ_50,,_Python MCQ,4,Which returns correlation matrix?,df.corr(),df.describe(),df.info(),df.sum(),0
_Python MCQ_51,,_Python MCQ,4,What does df.info() show?,Data types,Summary,Graph,Count,0
_Python MCQ_52,,_Python MCQ,4,Which removes nulls?,df.dropna(),df.clean(),df.remove(),df.clear(),0
_Python MCQ_53,,_Python MCQ,4,Which merges DataFrames?,pd.merge(),pd.concat(),pd.join(),All,3
_Python MCQ_54,,_Python MCQ,4,Which plots bar chart?,plt.bar(),plt.plot(),sns.lineplot(),None,0
_Python MCQ_55,,_Python MCQ,4,How to read Excel file?,pd.read_excel(),pd.read_csv(),pd.read(),None,0
_Python MCQ_56,,_Python MCQ,4,Which command counts missing values?,df.isnull().sum(),df.count(),df.missing(),None,0
_Python MCQ_57,,_Python MCQ,4,What does df.describe() do?,Gives summary stats,Shows head,Cleans data,None,0
_Python MCQ_58,,_Python MCQ,4,Which function renames columns?,df.rename(),df.columns(),df.edit(),None,0
_Python MCQ_59,,_Python MCQ,4,What is index in pandas?,Row labels,Column names,Values,None,0
_Python MCQ_60,,_Python MCQ,5,Which library is best for interactive visuals?,seaborn,matplotlib,plotly,numpy,2
_Python MCQ_61,,_Python MCQ,5,Which regression is linear?,Logistic,Linear,Ridge,Lasso,1
_Python MCQ_62,,_Python MCQ,5,Which creates subplots?,plt.subplots(),plt.plot(),plt.subplot(),sns.grid(),0
_Python MCQ_63,,_Python MCQ,5,Which library is for ML models?,pandas,scikit-learn,matplotlib,seaborn,1
_Python MCQ_64,,_Python MCQ,5,What does .fit() do?,Trains model,Tests,Saves,Visualizes,0
_Python MCQ_65,,_Python MCQ,5,What splits data into train & test?,train_test_split(),split_data(),model.split(),divide(),0
_Python MCQ_66,,_Python MCQ,5,What is cross-validation for?,Model evaluation,Cleaning data,Plotting,None,0
_Python MCQ_67,,_Python MCQ,5,What does normalization do?,Scales data,Sorts,Removes nulls,None,0
_Python MCQ_68,,_Python MCQ,5,What is a confusion matrix for?,Evaluate classification,Visualize scatter,Normalize data,None,0
_Python MCQ_69,,_Python MCQ,5,What is Logistic Regression used for?,Classification,Regression,Clustering,Summarization,0
_Python MCQ_70,,_Python MCQ,5,Which algorithm uses decision trees?,Random Forest,SVM,Logistic Regression,Naive Bayes,0
_Python MCQ_71,,_Python MCQ,5,What is accuracy_score used for?,Model evaluation,Data cleaning,Sorting,None,0
_Python MCQ_72,,_Python MCQ,5,Which library supports 3D plots?,seaborn,plotly,pandas,numpy,1
_Python MCQ_73,,_Python MCQ,5,What is a heatmap used for?,Show correlation visually,Text display,Numeric table,None,0
_Python MCQ_74,,_Python MCQ,5,Which metric measures regression error?,RMSE,accuracy_score,confusion matrix,correlation,0
