id,course,topic,level,question,option1,option2,option3,option4,answer_index
Web Fundamentals-HTML & CSS_49,,Web Fundamentals-HTML & CSS,4,Which meta tag is essential for responsive pages?,<meta charset>,<meta viewport>,<meta theme>,"<meta device>
",1
Web Fundamentals-HTML & CSS_50,,Web Fundamentals-HTML & CSS,4,CSS Grid is defined using:,display: grid;,display: flex;,position: grid;,"grid: layout;
",0
Web Fundamentals-HTML & CSS_51,,Web Fundamentals-HTML & CSS,4,The z-index property controls:,Opacity,Font size,Zoom,"Stacking order
",3
Web Fundamentals-HTML & CSS_52,,Web Fundamentals-HTML & CSS,4,The CSS property to control transparency:,opacity,visibility,display,"transparent
",0
Web Fundamentals-HTML & CSS_53,,Web Fundamentals-HTML & CSS,4,To make an image responsive:,max-width: 100%;,height: auto;,width: auto;,"both A and B
",3
Web Fundamentals-HTML & CSS_54,,Web Fundamentals-HTML & CSS,4,Which CSS property changes the shape of the cursor?,mouse,pointer,cursor,"icon
",2
Web Fundamentals-HTML & CSS_55,,Web Fundamentals-HTML & CSS,4,The transition property is used for:,Smooth animation,Color change,Text decoration,"Static layout
",0
Web Fundamentals-HTML & CSS_56,,Web Fundamentals-HTML & CSS,4,Pseudo-class to style the first child element:,:firstElement,:first,:first-child,":first-line
",2
Web Fundamentals-HTML & CSS_57,,Web Fundamentals-HTML & CSS,4,Which unit is relative to the parent element’s font size?,cm,px,%,"em
",3
Web Fundamentals-HTML & CSS_58,,Web Fundamentals-HTML & CSS,4,Inline elements in HTML appear:,On new lines,Next to each other,Centered,"Hidden
",1
Web Fundamentals-HTML & CSS_59,,Web Fundamentals-HTML & CSS,4,Which CSS function is used to apply multiple fonts?,font-list,font-style,font-family,"text-font
",2
Web Fundamentals-HTML & CSS_60,,Web Fundamentals-HTML & CSS,4,Which property defines animation speed curve?,animation-mode,animation-delay,animation-speed,"animation-timing-
function
",3
